lead_time,variable,level,acc,rmse
6,10m_u_component_of_wind,surface,0.930042374445001,1.363456205477757
12,10m_u_component_of_wind,surface,0.8152238208495858,2.35406435242607
18,10m_u_component_of_wind,surface,0.7101318997463211,3.1448900878856185
24,10m_u_component_of_wind,surface,0.6112042210190997,3.8960366275980736
30,10m_u_component_of_wind,surface,0.545623437035374,4.460065499030122
36,10m_u_component_of_wind,surface,0.48452389321839046,4.952523520234664
42,10m_u_component_of_wind,surface,0.44844426719556146,5.311418230894225
48,10m_u_component_of_wind,surface,0.4154342531971553,5.670332193088745
54,10m_u_component_of_wind,surface,0.3933162498018943,5.96625850392248
60,10m_u_component_of_wind,surface,0.35023809110817733,6.260328562403075
66,10m_u_component_of_wind,surface,0.3183600411205637,6.541000571091585
72,10m_u_component_of_wind,surface,0.2943364970291508,6.761632820188787
78,10m_u_component_of_wind,surface,0.3018070067886591,6.859535557421244
84,10m_u_component_of_wind,surface,0.3008894712251411,6.920174457955011
90,10m_u_component_of_wind,surface,0.30428696002330957,6.992599640407359
96,10m_u_component_of_wind,surface,0.29566320090221954,7.079850023586739
102,10m_u_component_of_wind,surface,0.2898844157537687,7.1622928171539995
108,10m_u_component_of_wind,surface,0.26584186571288904,7.286441152384079
114,10m_u_component_of_wind,surface,0.26438553964478095,7.332096117542879
120,10m_u_component_of_wind,surface,0.25314028933906885,7.398295697756728
6,10m_v_component_of_wind,surface,0.937454736761298,1.2764651482143112
12,10m_v_component_of_wind,surface,0.8222335971928647,2.176925189265036
18,10m_v_component_of_wind,surface,0.6903114626224194,2.9188224705193253
24,10m_v_component_of_wind,surface,0.5722598872069511,3.5183065741686206
30,10m_v_component_of_wind,surface,0.4572956240124419,4.0095895003306445
36,10m_v_component_of_wind,surface,0.363306974489535,4.4547330044970295
42,10m_v_component_of_wind,surface,0.2777505579016214,4.877534321776084
48,10m_v_component_of_wind,surface,0.21199673513448883,5.2430022576678965
54,10m_v_component_of_wind,surface,0.15845172437103341,5.517627853315691
60,10m_v_component_of_wind,surface,0.12273553044934317,5.750892403429496
66,10m_v_component_of_wind,surface,0.1021331557994819,5.9311979506506205
72,10m_v_component_of_wind,surface,0.13332155329701295,5.94540337860931
78,10m_v_component_of_wind,surface,0.16679286755581135,5.928478326402496
84,10m_v_component_of_wind,surface,0.1863015342789935,5.950784347314919
90,10m_v_component_of_wind,surface,0.15245825411935557,6.154902173284169
96,10m_v_component_of_wind,surface,0.1333017032403757,6.251725809755153
102,10m_v_component_of_wind,surface,0.09993214671936422,6.398180997549815
108,10m_v_component_of_wind,surface,0.07774492557178954,6.506697329412225
114,10m_v_component_of_wind,surface,0.06909435604640891,6.63006485754591
120,10m_v_component_of_wind,surface,0.07470406017613197,6.635105027680929
6,2m_temperature,surface,0.7506037741225826,2.2966564148329756
12,2m_temperature,surface,0.42373135694842945,4.229405660898882
18,2m_temperature,surface,0.24954734154884786,5.61352548042623
24,2m_temperature,surface,0.17994578448573637,6.721094473564577
30,2m_temperature,surface,0.19846382001435856,6.995148051229132
36,2m_temperature,surface,0.10422567731975642,8.447946398638424
42,2m_temperature,surface,0.04537193893154039,9.531590499285723
48,2m_temperature,surface,0.03803548052454098,10.208579100271551
54,2m_temperature,surface,0.053845785900549024,10.065685655103804
60,2m_temperature,surface,-0.005428044781824792,11.245377573143614
66,2m_temperature,surface,-0.03649880045603192,12.207828038286348
72,2m_temperature,surface,-0.04024175379354455,12.837707695320576
78,2m_temperature,surface,-0.025390335591206358,12.554374791471194
84,2m_temperature,surface,-0.07607973269168457,13.560172707343865
90,2m_temperature,surface,-0.07494037549720918,14.344267870280229
96,2m_temperature,surface,-0.05558249480170535,14.789239089271602
102,2m_temperature,surface,-0.028012973702790003,14.303212136848595
108,2m_temperature,surface,-0.06249410688345606,15.075355065970898
114,2m_temperature,surface,-0.057322438693515915,15.80079609826706
120,2m_temperature,surface,-0.031813396010336,16.1862854756768
6,mean_sea_level_pressure,surface,0.9692083512361899,212.15838839421704
12,mean_sea_level_pressure,surface,0.8962423358157167,396.85294017959245
18,mean_sea_level_pressure,surface,0.834206461914874,514.8759537941727
24,mean_sea_level_pressure,surface,0.7356103230892237,686.8948328258685
30,mean_sea_level_pressure,surface,0.6676116628492498,781.1734309071663
36,mean_sea_level_pressure,surface,0.5801634333381431,931.8041786176437
42,mean_sea_level_pressure,surface,0.52891758583181,1002.9078919510887
48,mean_sea_level_pressure,surface,0.4760068503670631,1128.665473124256
54,mean_sea_level_pressure,surface,0.44641497161717825,1159.7235402058532
60,mean_sea_level_pressure,surface,0.380542650116114,1302.318738714304
66,mean_sea_level_pressure,surface,0.34699792355077846,1353.6721689623573
72,mean_sea_level_pressure,surface,0.32046668086591135,1462.9512154379563
78,mean_sea_level_pressure,surface,0.30931436410648194,1469.3683082128402
84,mean_sea_level_pressure,surface,0.27071574579877694,1592.889901979782
90,mean_sea_level_pressure,surface,0.2640237577829254,1603.5632878219099
96,mean_sea_level_pressure,surface,0.25203827425428665,1691.2507234314064
102,mean_sea_level_pressure,surface,0.2592769173622503,1669.9882393160196
108,mean_sea_level_pressure,surface,0.22880265688077958,1782.0081981796507
